Configuration,Network,Layer
MLPERF_AlphaGoZero_32x32_os,yolo_tiny,Conv4
MLPERF_AlphaGoZero_32x32_os,yolo_tiny,Conv6
MLPERF_AlphaGoZero_32x32_os,yolo_tiny,Conv7
MLPERF_AlphaGoZero_32x32_os,yolo_tiny,Conv9
MLPERF_AlphaGoZero_32x32_os,yolo_tiny,Conv2
MLPERF_AlphaGoZero_32x32_os,yolo_tiny,Conv1
MLPERF_AlphaGoZero_32x32_os,yolo_tiny,Conv3
MLPERF_AlphaGoZero_32x32_os,yolo_tiny,Conv8
MLPERF_AlphaGoZero_32x32_os,yolo_tiny,Conv5
GoogleTPU_os,mobilenet,Conv13
GoogleTPU_os,mobilenet,Conv4
GoogleTPU_os,mobilenet,Conv20
GoogleTPU_os,mobilenet,Conv6
GoogleTPU_os,mobilenet,Conv7
GoogleTPU_os,mobilenet,Conv1
GoogleTPU_os,mobilenet,Conv16
GoogleTPU_os,mobilenet,Conv8
GoogleTPU_os,mobilenet,Conv19
GoogleTPU_os,mobilenet,Conv27
GoogleTPU_os,mobilenet,Conv14
GoogleTPU_os,mobilenet,Conv10
GoogleTPU_os,mobilenet,Conv4
GoogleTPU_os,mobilenet,Conv7
GoogleTPU_os,mobilenet,Conv9
GoogleTPU_os,mobilenet,Conv23
GoogleTPU_os,mobilenet,Conv22
GoogleTPU_os,mobilenet,Conv2
GoogleTPU_os,mobilenet,Conv1
GoogleTPU_os,mobilenet,Conv11
GoogleTPU_os,mobilenet,Conv17
GoogleTPU_os,mobilenet,Conv12
GoogleTPU_os,mobilenet,Conv21
GoogleTPU_os,mobilenet,Conv5
GoogleTPU_os,mobilenet,Conv3
GoogleTPU_os,mobilenet,Conv6
GoogleTPU_os,mobilenet,Conv24
GoogleTPU_os,mobilenet,Conv3
GoogleTPU_os,mobilenet,Conv8
GoogleTPU_os,mobilenet,Conv2
GoogleTPU_os,mobilenet,Conv18
GoogleTPU_os,mobilenet,Conv15
GoogleTPU_os,mobilenet,Conv5
GoogleTPU_os,mobilenet,Conv25
GoogleTPU_os,mobilenet,Conv26
GoogleTPU_os,mobilenet,Conv9
GoogleTPU_os,yolo_tiny,Conv13
GoogleTPU_os,yolo_tiny,Conv4
GoogleTPU_os,yolo_tiny,Conv20
GoogleTPU_os,yolo_tiny,Conv6
GoogleTPU_os,yolo_tiny,Conv7
GoogleTPU_os,yolo_tiny,Conv1
GoogleTPU_os,yolo_tiny,Conv16
GoogleTPU_os,yolo_tiny,Conv8
GoogleTPU_os,yolo_tiny,Conv19
GoogleTPU_os,yolo_tiny,Conv27
GoogleTPU_os,yolo_tiny,Conv14
GoogleTPU_os,yolo_tiny,Conv10
GoogleTPU_os,yolo_tiny,Conv4
GoogleTPU_os,yolo_tiny,Conv7
GoogleTPU_os,yolo_tiny,Conv9
GoogleTPU_os,yolo_tiny,Conv23
GoogleTPU_os,yolo_tiny,Conv22
GoogleTPU_os,yolo_tiny,Conv2
GoogleTPU_os,yolo_tiny,Conv1
GoogleTPU_os,yolo_tiny,Conv11
GoogleTPU_os,yolo_tiny,Conv17
GoogleTPU_os,yolo_tiny,Conv12
GoogleTPU_os,yolo_tiny,Conv21
GoogleTPU_os,yolo_tiny,Conv5
GoogleTPU_os,yolo_tiny,Conv3
GoogleTPU_os,yolo_tiny,Conv6
GoogleTPU_os,yolo_tiny,Conv24
GoogleTPU_os,yolo_tiny,Conv3
GoogleTPU_os,yolo_tiny,Conv8
GoogleTPU_os,yolo_tiny,Conv2
GoogleTPU_os,yolo_tiny,Conv18
GoogleTPU_os,yolo_tiny,Conv15
GoogleTPU_os,yolo_tiny,Conv5
GoogleTPU_os,yolo_tiny,Conv25
GoogleTPU_os,yolo_tiny,Conv26
GoogleTPU_os,yolo_tiny,Conv9
